x,y,z
-684.9962090339515,-5.249999999446631,6.0
-684.4962090339515,-5.2499999994022435,6.0
-683.9962090339515,-5.249999999357856,6.0
-683.4962090339515,-5.249999999313468,6.0
-682.9962090339515,-5.249999999269081,6.0
-682.4962090339515,-5.249999999224693,6.0
-681.9962090339515,-5.2499999991803055,6.0
-681.4962090339515,-5.2499999992574375,6.0
-680.9962090339515,-5.24999999933457,6.0
-680.4962090339515,-5.249999999411702,6.0
-679.9962090339515,-5.249999999488834,6.0
-679.4962090339515,-5.249999999565966,6.0
-678.9962090339515,-5.249999999643098,6.0
-678.4962090339515,-5.24999999972023,6.0
-677.9962090339515,-5.249999999797362,6.0
-677.4962090339515,-5.249999999874494,6.0
-676.9962090339515,-5.249999999951626,6.0
-676.4962090339515,-5.250000000028758,6.0
-675.9962090339515,-5.249999999992125,6.0
-675.4962090339515,-5.2499999999554925,6.0
-674.9962090339515,-5.24999999991886,6.0
-674.4962090339515,-5.249999999882227,6.0
-673.9962090339515,-5.249999999845594,6.0
-673.4962090339515,-5.249999999808961,6.0
-672.9962090339515,-5.249999999772328,6.0
-672.4962090339515,-5.249999999735695,6.0
-671.9962090339515,-5.249999999699062,6.0
-671.4962090339515,-5.249999999662429,6.0
-670.9962090339515,-5.249999999625796,6.0
-670.4962090339515,-5.2499999995827284,6.0
-669.9962090339515,-5.249999999539661,6.0
-669.4962090339515,-5.249999999496593,6.0
-668.9962090339515,-5.249999999453525,6.0
-668.4962090339515,-5.249999999410457,6.0
-667.9962090339515,-5.24999999936739,6.0
-667.4962090339515,-5.249999999324322,6.0
-666.9962090339515,-5.249999999281254,6.0
-666.4962090339515,-5.249999999238186,6.0
-665.9962090339515,-5.2499999991951185,6.0
-665.4962090339515,-5.249999999152051,6.0
-664.9962090339515,-5.2499999992343875,6.0
-664.4962090339515,-5.249999999316724,6.0
-663.9962090339515,-5.249999999399061,6.0
-663.4962090339515,-5.249999999481398,6.0
-662.9962090339515,-5.249999999563735,6.0
-662.4962090339515,-5.249999999646072,6.0
-661.9962090339515,-5.249999999728408,6.0
-661.4962090339515,-5.249999999810745,6.0
-660.9962090339515,-5.249999999893082,6.0
-660.4962090339515,-5.249999999975419,6.0
-659.9962090339515,-5.250000000057756,6.0
-659.4962090339515,-5.250000000018376,6.0
-658.9962090339515,-5.249999999978997,6.0
-658.4962090339515,-5.249999999939618,6.0
-657.9962090339515,-5.249999999900239,6.0
-657.4962090339515,-5.24999999986086,6.0
-656.9962090339515,-5.249999999821481,6.0
-656.4962090339515,-5.249999999782101,6.0
-655.9962090339515,-5.249999999742722,6.0
-655.4962090339515,-5.249999999703343,6.0
-654.9962090339515,-5.249999999663964,6.0
-654.4962090339515,-5.249999999624585,6.0
-653.9962090339515,-5.249999999582294,6.0
-653.4962090339515,-5.2499999995400035,6.0
-652.9962090339515,-5.249999999497713,6.0
-652.4962090339515,-5.249999999455422,6.0
-651.9962090339515,-5.249999999413132,6.0
-651.4962090339515,-5.249999999370841,6.0
-650.9962090339515,-5.24999999932855,6.0
-650.4962090339515,-5.24999999928626,6.0
-649.9962090339515,-5.249999999243969,6.0
-649.4962090339515,-5.249999999201679,6.0
-648.9962090339515,-5.249999999159388,6.0
-648.4962090339515,-5.249999999247201,6.0
